,id,goal
1775,add55fd8-e84e-465c-ad75-67b0b290c6f4,No
2204,560fa240-f5ee-4512-ba52-2c4294453574,No
2232,f5ce2551-1f65-4b9a-bad1-82b29e5aade8,No
2730,86e5da30-7299-4a94-ae98-1b46de0202fd,No
2737,dc42192c-3bad-4cfd-b3c4-fb898b534ab8,No
2269,10210397-392a-421e-b204-6cb28107b063,Yes
804,ff01b7e2-4ad5-47d4-a64e-a5d554d59bea,No
1369,c18249cf-e5b8-45ae-abc4-32df27736e01,No
1557,f82d80cb-41c2-4091-bc2c-c00e7192bc6c,No
1060,8a40bfc0-f74a-41a9-975e-65b2d3cb62d7,No
1562,895465ce-14a6-49f5-90d1-edbbe44943f0,No
1640,7a8e2dc9-dc50-4950-a31e-141a48ced5b1,No
2361,3d50ba68-567c-4748-87f6-e6403c91ac7f,No
368,d3772dd6-6eea-455c-8730-2440db142ee3,No
373,c713f4f8-c545-4b26-aa5d-89ac6cc98c79,No
2532,5b1989f8-b85e-4d4c-bf7d-8e886dc5b600,No
766,0c2450ff-2afb-4e0c-9cef-4c07fcd73f06,No
846,d8583824-ad41-4565-9d66-76cdf5b590a0,No
655,ca18ba8a-13ce-4287-aa81-0b02a0e2e4df,No
659,adfec41f-46d2-464b-bcc0-34536c08fa70,No
672,7250686d-dbef-4aca-a296-1f48215491f6,No
1949,0e97cf2e-cd99-49a2-873d-df68f9eb9f3e,No
4346,5872c272-7ed0-4fc9-93dd-6c8ec9058c8f,No
182,7862a4fd-c8a6-4e13-b4c9-a4f3d35e62ae,Yes
719,4731a05a-0a0b-42f9-baf8-8c09d25249d3,No
2753,e3c9b012-4aef-4d3c-9672-b951692edb85,No
3368,f54db2ad-ad74-4aef-9280-fb97514ceb9a,No
68,b028efbb-c5d9-4f82-9b3f-6afb32ebda0b,No
587,969f2ed8-b6cd-4214-bf3d-fddcf301f5b2,No
1995,466ddafe-c119-4f94-950e-c7fa0d155a13,No
2941,6fe934d6-0306-4158-9518-54c63135f4d3,No
3231,904c9967-5977-4f5f-badb-828f016559f1,No
2203,64cc89fc-a8ac-49d2-a70e-19d8a76a948d,No
3118,0217f2c7-ce3b-474c-915b-d2dd2f342d97,No
2245,8485c210-7c71-4ba7-b28d-e5cc89118f33,Yes
1905,501352cf-dc9b-475b-a64e-8eb830731ea5,No
2051,5a969368-547d-4d29-b35c-c61b15fdee07,No
2276,3cbd4e62-a383-445a-b168-e86a7735c598,No
2279,0246c3b0-bf4c-4264-bb3b-1b292da50e85,No
1543,fddc2f66-69c6-48d5-a31e-5f7e1eec31fb,No
1575,29347f3b-4ac4-4eb7-8c67-9d0d5e5d551e,No
1580,dffdc9f6-a0bd-47ff-92d4-eca7651df3fc,No
1753,1b77295e-19ae-449f-9a38-d520a8360c68,No
1854,2205372a-6b5f-42d2-9871-645e69c9de04,No
2499,6c5e10a6-106e-485b-9461-d77861821478,No
2509,a100425e-cc49-49b9-b06f-4a9dafb20678,No
2515,1f66bf03-492f-4421-b048-cc1f524c7057,No
582,6fa41dd5-ebb7-4ecc-9095-de727e488bdb,No
975,2e6ebfd0-0c8d-46dd-bb1e-4ec80b09784f,No
1554,f2725819-e85a-456c-a7f8-dbeb67ab60fe,No
2216,c1bc8868-34d7-40d0-905b-4a8f2924e4a3,No
292,5d3572fe-858d-4111-acb7-7b52c6584309,No
2206,b55fa2e9-cbcd-4576-8e14-468c209def45,No
3296,4244400b-7ab3-49c9-8391-9956a266b192,Yes
1285,d50f8449-88b8-4f44-8da3-60d1cfdd9c69,No
3240,80e4298d-de0a-4053-908e-c360e29a3758,No
3355,47446e07-8efa-4349-9fc5-46d1bcb64e8e,No
3392,e3bda7b9-ce24-4ae5-bebd-5ad1df3f2e26,No
634,e13dfce5-3faa-4f20-9c5c-fade0c97d0c8,No
1638,e4069f92-2c39-4818-8d18-26fae58bf418,No
1673,35710afa-9809-40af-8a32-1cd452f0aa69,No
2592,4dd1a6e5-167d-4aee-8ef2-aa85fe4e9286,No
963,1d984db3-202a-4944-b2cd-1b010fb1d77f,No
2516,37b0263f-9b80-4432-b645-410f642891f9,No
3271,1b2ba900-510d-41f5-ada1-cb6229f0c5a9,No
3275,98bf3443-42ca-41c6-8d1b-513c01f6d720,No
1239,00427415-1c16-40e8-8dcf-ac34dc859130,No
2109,9b41f91c-3c97-4609-80ca-74d6ae84eff9,No
2118,bddffc77-1db2-47fe-880c-fe624a3aab61,No
3152,8ccf9beb-eb05-4c79-961e-6471d847ca3c,No
3646,c93ce66f-c3df-4d3d-9993-5aca04efb316,No
273,0eedc56a-b638-45be-9bed-a6033901fd7e,No
850,05978612-000f-49ca-b888-f6b9a4154fea,No
1943,402c8db8-a9ce-483f-b230-97eb01918d8e,No
1969,94912ce2-5c32-47e4-b9d6-8de4df2b173a,No
2170,2453f1d6-1fd8-4c04-b98d-71d24d432f3b,No
2399,a8741b4d-d703-4937-90dc-c6d17f54fe13,No
495,29df708d-1787-49c7-8885-893e121bf997,No
3458,fdabe33c-4beb-4d5a-a1dc-f8c68fe3aea4,No
2521,f2fd510e-b7e5-4289-bca6-158f0e7ddaaa,No
2610,ca50d02d-d4f3-4d19-81eb-4a9b3364423f,No
2957,a8578ec7-e49d-485c-9960-7716a4c7cc03,No
646,82b7196c-c640-463f-b55b-c42e6e57022f,No
1019,9616ebb1-72d1-47da-bdc3-fd8528494eb4,No
2406,b494fce6-a28e-4b59-89cc-885da50ae30b,No
2632,62532527-6710-4b5f-91d1-0fbe6f5801bc,No
2904,90460b73-0b22-4a1b-9c6e-b51e20a7b179,No
1060,35f4ba0d-0841-4e78-9b9f-fe2cbcfaa5d2,No
1988,4615be42-84e7-438f-86e9-decfbb71ef0b,No
2276,8fd96989-4dce-4981-8c15-c07018c3ff55,No
3301,59298460-c58a-4b0b-a70f-1bb4c0f65b02,No
3375,1187eaf5-312f-4e5b-beb3-5d11a48becf2,No
3499,94f814c1-18b3-4d8b-a72d-4e61cb8acde8,No
1459,60625aeb-1794-4aed-b69c-e5541ab868fd,No
1499,20cb6277-e527-4e51-89e5-3bee0dcbf2f6,No
2747,d824bc31-0414-4a54-bab8-346cbd86d50c,No
127,e1b73e47-6fef-4d70-824d-c8b95f396748,No
1710,b64f6fc8-f9b5-43a3-8765-a9eb54aa1ead,No
2063,cd44d75b-d688-427e-9154-703baa019de6,No
1371,b795afe2-3edd-4479-9260-da73777fb00d,Yes
265,c5b86fa3-bf5b-4b4e-b81d-3593eb220c1e,No
626,23d99a4f-258f-4db3-94e4-917896e26996,No
1340,d612c807-0c3c-4df1-b476-3c41157a6179,No
2638,6615708f-f458-4dfd-ae7b-be789bcfc2a1,No
2964,6b0b55da-bfdb-42e1-8f5b-bc51a6738080,No
1446,857438f5-7c90-4226-97ba-3669d3e9fcc6,No
1879,a11c67bc-85d0-4699-ae01-e5937ce76cac,No
760,77f8587a-0d04-4b73-9078-cd35f9805f12,No
1615,aab41d0a-0c6a-4b81-be1d-4b50c69df94d,No
1619,5396825d-5bee-4202-ab6f-b4989dddcae0,No
2703,a2b2b3f4-6301-4ec5-9f71-e274a317a505,No
1206,ce0faa52-0c4a-4366-9414-0be3da1a6f79,Yes
550,2bd99b54-99c8-480c-8857-b21c4ee5a740,No
835,446d0f2a-05b7-4318-9111-aad278f40c11,No
914,dbd88116-861b-4617-be2f-6d5ecd2891c2,No
955,27205274-a181-4390-81d1-4f1bac4c6016,No
105,7c544d2c-9e7c-43ad-aa09-e8d08c5ada1f,No
2652,ddb478a4-54d3-42d3-9aa2-86281a3f7728,No
3383,a2ef5180-f9aa-4f5e-aefa-fb9a08f60b77,No
1050,0f84f910-4214-4231-9ca2-3a1385dc5e7f,No
1357,cec6d680-7943-44c9-94eb-253e21142988,No
1369,4e6297dc-0a54-4423-8538-db89c77f3b7d,No
1735,6dfb43d2-86da-46b6-a577-6ad0135a02c1,No
2585,9a1e591b-8382-465b-920d-2a85df7a6c2d,No
2686,46a9c9f0-bf0e-4b82-8711-71f70625e9c0,No
2748,3f513f7c-bc46-480e-ac51-071e9868e9b1,No
1128,74c85cfa-b71d-4ae8-8a81-0c08d5d2dab1,No
1132,bd761384-501a-4930-9707-ef571b481d12,No
1395,5bbe01b8-a2b1-42d0-bd49-13933d6c4da3,No
1405,87dbd119-d5e9-42da-900d-8fb2e662f44c,No
1876,40f3b188-8ab1-4ae3-b2b1-b62afd8c930a,No
2083,99242118-058f-4a2f-970e-acd028165d6d,No
3108,b852c9c8-67bd-49ee-938e-a2bfabb2c333,No
77,d71051cc-bfe6-4e8d-b5d4-9b6ee7659010,No
2562,f9972436-4f5e-4293-b98f-f9c36da2f6a6,No
1050,0575d00a-2a54-4f49-a4b1-591afce1de8d,No
1509,dc238bc1-1fc4-4ee0-853f-fa67329682df,No
2020,c06d9995-a7e2-4776-a17b-3f9731dac078,No
1437,a1bcc632-03e7-442a-9016-1bc0d3e3d694,No
1705,5b352098-8cbe-401c-8bf6-89b345785977,No
2879,2a8dafe1-f0fa-4dcb-9325-80b294ede86d,No
314,c43a7fa5-f91a-45f0-ac96-3d230bfda0af,Yes
1152,2421de02-1855-490b-abac-ac5753d1b0ae,Yes
581,d5bab6ec-5207-4110-9bee-0589c2e4e19d,No
1733,b760bceb-8f4f-478e-9e6b-526ec9181729,No
2329,10ce80b4-49b1-4918-971b-4a998489c03e,No
1857,46e15eef-e7eb-4a8d-b43f-7bb9265f54dc,No
2093,07513315-0953-478e-8de4-97517ffecd0a,No
1547,47f7ef43-c053-4ad5-9b99-d51bd0355c3b,Yes
1150,aacd4445-ab6a-4d6b-ab46-a26f10ba307c,No
1712,cd8fbb86-6586-4c16-bc16-23893e02e22f,No
3021,792a93ee-0f7e-4d3f-b6ae-7b218e37eec6,No
1412,2d1cc667-10ec-4bad-88fe-97ee7830fe06,Yes
755,36716550-f62f-4a5f-b2aa-4c8d72357951,No
2262,6805c3c1-7bb4-4efc-92b8-6de3c4200d98,No
2693,3575f1d5-26d6-4d58-946b-93aa37e97cb2,No
2829,3ff70c53-0999-4d9b-a2d0-c5d364ffa27a,No
1455,8a54ab75-5d5a-4b24-ba95-0c5b1fe31fc2,No
1653,56d2ffad-868a-48ac-8492-b16619ca1ee2,No
1792,3d3b8ea1-57c2-4d7b-bba6-e63756ad1ea5,No
1796,627020f0-8cc8-464a-b76e-a40314aac5ac,No
2488,c81e2440-9d28-4e2c-9bc0-f24a8717c8c4,No
3471,e2480e16-f1ce-4771-a7fd-1856820009ed,No
560,013983e5-bb77-47c0-a9d9-cca02068cd24,No
574,b44a7cb7-a7f1-49b1-bc09-90dc6004f218,No
3075,a5957277-3363-4771-bb95-d0e03fe547c4,No
3078,6d23f1f7-c858-47af-ae1c-4f6260862f7f,No
313,4bf3f4b5-ebfc-400b-bd34-f0ce8dedce3b,No
700,cbab13cc-92e7-4b2a-a933-b1834c7a144c,No
2126,1bed9a89-cc39-455e-a100-459010880648,No
3379,ed56fb65-d9a9-4f40-83cb-a0323851ad10,Yes
3430,b36f6854-4526-4e07-a664-75ad3cec3da2,No
1476,74d51a45-cf47-48c9-be5c-1c4ff57109d1,No
2721,796346a5-137d-44a3-aabc-0f2ff8e928ac,No
1390,0037d1a3-0118-4d52-80e0-3d68c8491827,No
2511,5e37b982-0e8e-45f8-8eab-a12b5fd9dd92,No
2515,cef575f0-b7d3-4cb2-a5ab-d68462ebbacd,No
2602,62714177-66fb-492f-bf09-0e2f559501f8,No
2702,baa414a0-3a0f-4e06-acce-a9b658aaa60d,No
2807,47498874-1323-4efe-87a3-0a03edf72289,No
3236,bb8bc637-f7a4-443d-ac85-6382ab0a49e3,No
2869,2effbf64-b445-4aa5-a87e-7ff2f38c90ee,Yes
1953,1005a0cd-efda-4b12-92a0-edec3f740581,No
1958,faf2becb-95e5-4cc5-b77e-208679268e05,No
599,86749a10-189a-4855-9888-614286f088f9,No
2121,d8960dbe-83e3-47db-9180-93233d8b76e9,No
3554,128354e2-7b85-4739-b90d-d6ca68596970,No
2369,1429ba55-2335-4ede-8d44-e09ec2cd656f,No
2916,14f7a289-170d-4038-8ca8-f9041023757a,No
2645,c1b79e5e-5faf-4a8b-8746-4d0e6df92d0f,Yes
1584,123c02ec-f334-4033-a4f5-8791c070822f,No
209,9f27d5ce-1a16-4146-95c1-8462a06e5eee,No
261,c2d21cd9-48f7-4c1f-9a2c-94632a185615,No
273,d1aa0b59-137c-4a53-a5fd-f4ac51f4c2ca,No
839,8007626f-a12c-450f-b0d7-04860cf1bae6,No
2200,58f9897b-09a8-4aa4-8157-b1bd75547610,No
1974,3210097e-a028-4939-b19d-1fe456134924,No
3229,3d5d594a-ba3a-48f7-a0bc-b59df7f3d9bd,No
3318,140d169a-ac2a-4b74-903a-2ff0e71e1b3b,No
1051,833bd4d5-42b4-40c1-83dd-770c36cab22b,No
1055,31c6393b-2e07-438e-9c1e-c87b59521f11,No
1254,1e9c4787-be0d-4637-b0d5-633dd08cce17,No
1530,9f28f96c-e782-4891-81e1-1bc777c0456d,No
2089,9efd9107-5448-4b5d-9cd1-af4332d38291,No
3273,2e57bab0-ce1f-4a89-8ada-d339d97209e1,No
3276,a6c5094e-9462-4e65-bcb3-14e4776b1311,No
1128,d3757842-d180-4326-8761-b446dde3d0f9,No
1176,ca0138b0-2b07-4e23-bede-0d8e7e7dd63e,No
1285,438feae0-9c6c-4053-9457-d97cdf331610,No
327,e2c68fad-2c21-4c70-ad68-6c34186ace87,No
689,3029d5d5-4236-4ab1-b2f4-666c83d8021c,No
1984,eedf6b50-2c00-466d-9fdb-fdd5348dff6d,No
233,0355919e-7dde-47dd-9bd2-f337538105a5,No
335,fb2f5307-3563-457d-a194-4e6d386a8037,No
2768,96d74e90-1805-4454-806a-e296b2952242,No
578,4dae532b-bf88-4265-a223-be2c0fb42e2e,Yes
1559,c580f77b-13da-421e-89b1-cd80056b3fd6,No
2370,1fd6c6da-d64e-4ac2-a012-c381b94a1ec6,No
2756,e2aa82f5-c349-4865-a761-30bcb0774b8d,No
2886,0ba661be-a2e5-4c6b-9a6b-6ec6bd12b4ce,No
2948,c30ade1d-e7b5-43ae-a74f-ac0b1bccfd2a,No
3538,11b6335f-85ec-4029-924d-8b8010ba4519,No
1715,d55dd594-9400-41c6-b94e-105edfbe12b4,No
1095,83bd01ed-548e-469b-8988-9a6e39e80513,No
1207,79b332d5-daf4-4de4-b330-eeeaa0f9d666,No
2179,e02619f5-e64e-4c5e-90d5-a9eb97dc550b,No
2188,6236a7b4-4ba6-4cad-82c5-39abf6e4a79e,No
2196,c4f8257c-9306-4246-9c0e-25672f0f7578,No
2271,2ebef521-c251-4437-b700-f7bf06237c7e,No
2377,3f8c1fe2-6a58-4b97-81d5-316290d6a963,No
2385,6a7e0e68-52d7-4f3a-9159-d79c048ed36f,No
2166,c22e1da1-caf2-470c-ad93-d3330a21ea96,No
2169,ab72552e-3a86-49eb-b2f8-3b4cc294af8d,No
252,29b7d604-645d-4ab7-a3d8-9e25fd2bc3ba,No
3210,22a05748-dd5b-4c69-ac3d-5b8a86137faf,No
3246,d5a5c341-dd6b-4f9b-ba59-8a856e10c2a2,No
242,42343e35-2016-436e-bcc0-641f7c7dcd61,No
1685,b390cb83-3c52-4788-aefb-19d40d99144f,No
1689,0115a9b2-8324-44e1-8954-03e133159d48,No
2445,0760547f-6fdd-421c-93f8-d3f7500cbdfd,No
130,988ec1f8-9f11-4139-8fba-a362197ffa51,No
190,dd51806a-e8c2-4312-ae01-eea298330041,No
1106,9383a481-48eb-4cd5-bb70-443edfaf3e6b,No
518,9ce4aa47-56db-44bb-82b9-a44a3210de46,No
865,4e2d6762-ce7e-4a4e-a461-925db998a1cf,No
1234,220117ae-721c-4a34-8aa7-4c658b780d84,No
2771,0a13de90-793a-4b64-8837-65a701382a69,No
1980,101fa965-74b2-40be-a2c9-a0429536e74d,Yes
908,f99aaa9c-a3f6-4d02-aa3c-65d0f01e390d,No
1553,53bc831e-908c-4b0d-8cdd-ca135e0e65aa,No
2252,c53049d6-4ad6-4e0d-a593-5028906d4d5c,No
2268,2bff4024-665c-4b26-8f95-77e8bb25b550,No
2430,d5050fbf-679a-47e3-98e8-5851329c94d7,No
2476,62668a6d-4097-4f4f-8246-1de8f0688154,No
1422,6dd839b9-5523-4245-a97d-19eff6431705,No
1714,f2b3d801-3a0b-464f-9d35-0ee1fd8b2cf3,No
51,58c14ac5-a4f2-4915-96ec-617b40efb4cf,No
95,8e444669-3910-4bf2-afe6-03cbabfc7b4e,No
1675,7679e567-47fa-4114-9ac1-69c538c53502,No
1837,a00ca90e-4917-46ae-b987-24370b88a744,No
2948,0d551d86-73e2-4ffd-bb9d-8f244072ceea,No
41,383d7f1f-8428-4340-97d3-c87feccfd69b,No
557,3d9140f7-b27e-4972-83bc-19055c04754f,No
561,195df841-ff09-435f-8480-7141c2eadcd6,No
1705,6b9efc66-5cef-46a8-8801-1aacff8c8788,No
1780,fe3284c1-0c27-4612-b428-aab36f33fb2b,No
1845,ca18c0fc-58a2-451f-a503-65405580c6d4,No
2449,7564b4af-6e1c-495b-9198-d45fd476b3a8,No
1351,114122c2-5e4a-473e-88eb-793373afb0af,Yes
2150,ad4d3682-6308-4d1f-88bb-dda102646ada,Yes
271,4e06382c-69e6-41b0-b8f6-a12b9eda6f73,No
1384,02bd0c0e-31e8-49fc-b4b7-9ae5ffe5d87b,No
1562,9abba91c-ff59-4dc7-8396-3eee6d947d97,No
1806,0d02ba9f-8aa2-411f-a817-56524af72da3,No
2854,8bfb1a28-67b4-45aa-b2c1-529da1427e12,No
2340,57cbba02-0e81-4af6-a6f5-5f0dee6b3ac9,Yes
445,3e8c11b4-f311-4255-9ecd-d59bb78709a9,No
827,95ba82a6-086e-47b2-acaf-229384968cbd,No
1435,5e9eed88-a9d5-4bf2-ae49-1d51d8a2859f,No
2014,950689da-5b95-4ac2-9cc9-1b6dda7a6a59,No
2810,3d239431-601f-499a-9302-1fa0ba22c1ac,No
2815,02c5d9fc-bf89-43ae-8303-2c3495fd7e00,No
3674,114aaafc-fcbc-4511-a9ca-552016ddc92d,No
959,a46b3654-140a-4e7a-9dfa-1d0d4a2c3c3b,No
1671,6df0f93d-b967-419e-b55c-4e02d528e08c,No
2460,a1fe48c4-0158-492a-9dce-546b98b0504d,No
3195,5af7e77f-d0ba-4e49-8f5a-afb153dcbd53,No
2035,d722a614-afd1-45c8-9fc8-6c320234ff21,No
1093,16f89339-7762-4370-a5b1-96d513e53e1a,No
1099,183f0629-e9a0-4251-9934-55f8e0d76f27,No
125,068cce1b-d9b0-4869-90fe-91b579933780,No
504,8e997508-29dc-4f5e-a30c-980775560041,No
657,ef0ec4fb-b559-4bc6-91bd-d92571d46f22,No
1944,465188f9-13c5-495a-a614-7aeeee07b7f3,No
2269,36d3eaf0-147e-42c2-a1e3-4923fe333eca,No
97,e845693d-2ac4-4261-8379-d60ae0249194,No
386,3f83a621-f156-4d14-9b69-47a27409f4ed,No
791,2d680819-fe53-4593-8497-06df37d15e3b,No
817,65d57ffb-71c8-44fb-b945-6bce2f1a2933,No
871,2f5bee2d-3568-43cb-81dc-408f84774bec,No
2068,8405ff8b-bbd5-4b6a-8400-774975c50852,No
2146,89ea0d2d-b83d-4a30-9325-d6ec3054af97,No
3012,092face1-5017-47b4-beda-881d4a259023,No
2493,366b3a88-7a2f-44f8-b403-cff10aa54fe0,No
3984,bc7699f7-8f34-4e98-91fc-d7ce9a399b64,No
3988,bd3f9556-4c77-4a2c-9e4f-bcd6101edcbc,No
1514,5f84804f-4312-4f59-832e-4f7aa27f1448,Yes
136,1f9ef6ac-9e58-4abd-a810-9525fa5a5534,No
1045,f867aea5-0c62-4cf3-b782-677bbb82cb02,No
2162,91dad5d9-e3fc-45db-ba72-516365aad581,No
2882,8b654f01-90a8-4500-9cdb-1fc8501566cc,No
1461,9e9e5c7c-f0ec-4e23-9b90-dc2b7e34e657,No
2305,9eca1dc5-4eba-4158-9dfe-a0f8538be088,Yes
3053,fcb64114-c0f5-4122-a164-9fe29522926c,Yes
510,68cdcec9-421b-45db-84a6-f68d9463058c,No
516,ae96b31e-b1a4-48eb-85c7-0b13d232293b,No
982,ebd311f1-bf46-4831-a7fc-2145f295dcc8,No
990,ce27a781-f660-462c-bc29-0c5285c87d18,No
1035,e3d20bc3-32b8-463e-95f5-9c754dfd21e9,No
1177,2beb1ed0-e8a9-4237-8fd5-b41d1dcef8ce,No
1230,bb5c79d6-73ea-4e7a-9aff-e69ace64d8bb,No
1235,d26e1945-ca12-41af-99b0-e6cc1b651895,No
1243,370a6f3a-26f7-454b-9228-03151673c08e,No
2301,6be6751c-57c1-45c5-a677-b247f933b328,No
2537,cfb772d1-623d-4387-a1d3-f11143cf048b,No
2634,6e949612-cf7e-4a2e-a216-07d5fe3c8447,No
2885,a00a1c04-da00-43f0-b7b8-3cba85119756,No
2888,2bbf07e0-197a-49ed-b694-5ab20c2d66cb,No
796,96e2c943-31c1-45b5-b7e0-7d637971d28a,Yes
3114,cdda4d64-96b1-49af-923e-a7d0f24307a3,Yes
1356,4abed8da-e190-4308-9f20-9f373bec3409,No
1814,28609ecf-f7f7-4129-895d-500c8eecea34,No
585,ccd68258-2b13-4460-babc-529972103694,No
3305,bb88cd6e-6068-45a8-8af7-0cdb479c8161,No
468,9c91c75d-a9fe-44ae-89cc-d9d0effe8cc7,No
565,992b099b-82a6-42b6-8ba9-345667538e96,No
1165,9a975491-0e2a-4af1-a37f-5ecb6a5587aa,No
1627,d8fc0de0-ada9-4c8a-96b8-f3758a2d445c,No
2173,b8a7bddb-6e97-41ff-b033-55330c710651,No
2178,5fc1e4ed-1b5c-43e2-84e8-d01280029537,No
2189,1a44fb74-8c53-4a92-ba61-d4344f3615be,No
2445,12200b56-11dc-4df4-915d-bd9db1f83d7b,No
2797,edc8c7f7-4580-4628-9a3a-ada6e10c0af5,No
3006,5b58c918-33d1-4193-aaf6-e9f7a14b546c,No
1617,7575f4bd-c502-4045-8255-3bb1653bc18d,No
2018,3ff602c5-3978-48b0-a815-04607a83d7f2,No
2110,da01ce2e-6028-49f3-a371-167a35e7537e,No
2793,344880ea-b9bd-48ca-8f81-9c152ad059ce,No
892,c716ab6f-c6d2-4bf7-9588-2aff086d885d,Yes
3644,5e95b073-2fda-42c4-9827-256517aff27f,Yes
566,8ac95959-b427-45ac-9b71-0487eae8fef2,No
889,90719602-6dcf-442a-9883-98a9c2af4746,No
1624,96e921cd-a1a6-473f-97a5-6e28f2c18b80,No
1640,51a162ba-a7fa-416e-987c-de4043bd487b,No
1244,62929cb2-19f7-47e1-8df0-9b2cd070936f,No
1281,0edfc653-7cbf-4059-8006-a3826052751b,No
1289,f0fe9079-21ff-404e-b302-38d2cf2fd9f9,No
1647,9ce8ddf6-9b5f-4a50-ab94-62eab89abe3b,No
2125,9382fd30-f2b4-41bd-85d6-71d0e0749bdf,No
2634,1620cca5-53a0-4d88-8900-ec909a027a4b,No
2641,6f0a630e-0b20-431f-9480-bdf4d0e42301,No
518,f3066ed5-b842-43fb-aab1-fa7bc1863e02,No
746,c48379c8-0b4c-421c-8c29-57aa0ed30124,No
2193,9cf0c606-8f53-4ef9-9e1f-6af0f7aef724,No
2948,e1bc2907-07d6-4f0d-be60-e6056ed5490c,No
3325,4dfb771f-e7e0-4358-81bd-bd40039b2fe9,No
2020,c7a281eb-8df5-4a67-aa9f-eae4635fdb9d,No
1393,a894927f-4778-43dc-996b-64c12a79060e,No
1895,a690ff72-e622-48bf-8d67-9d2c01d045c8,No
2112,14e46c9f-58f8-4558-b89f-58812eb38c1e,No
2739,b5051e5e-7605-4ac4-b445-7ad75d998bd6,No
2775,ef81a431-c4d5-4608-bae9-6724716e8fc2,No
384,0527e418-9959-4b5f-bf2c-153e46c8a882,No
391,f235695a-10ea-4a15-8d7f-78b266cbd497,No
934,8eb574f0-9f6e-4413-966c-0d4b89444bda,No
1143,34d0d856-a462-4161-8afa-65e19c8639e2,No
1612,ef887aec-7ac6-4075-9558-b28749a70c7d,No
1771,764e4ded-acf6-4aca-afbc-8430020e58f2,No
1975,162a45a9-a768-4ebc-a3f8-244e8bab18c7,No
2372,0303d1a6-8b0a-4b14-951b-11131e079246,No
2375,3d1da5cd-df10-4acd-8669-bedc5a54e9a2,No
2378,3f3bd54f-f54e-4071-9909-f4f636ec767c,No
2746,25e8e788-f2ee-41b4-bce0-4b699d417d03,No
1014,5eb9320b-fa49-4deb-9bf0-0d23b097d0f8,No
1016,01360001-db98-4bdd-b383-b1211033279c,No
1079,cd89de47-ba82-400e-9631-46febbaf0901,No
3463,23bdda6c-a053-4925-abc3-b2037d24a7b5,No
3468,22d64303-f370-4079-99a6-10c8383487ba,No
347,c650f558-4984-4aea-adb1-b289ae74d8c5,No
2599,490fe656-2f79-483c-b15b-cd4e5f70a1ec,No
2989,53d168aa-1303-4f4e-adb6-b2b846669f58,No
3435,b922e47d-8a97-415a-b95c-a256fada41eb,No
732,19a6684c-9eb6-480a-9828-cf59e543ca1c,No
961,5b74dce0-c8aa-4ba9-828c-1df57d4bf324,No
972,c98c1f81-e0e1-4701-8f41-767a00b32874,No
2992,98bf5021-6d7d-49ce-a717-25ec1bbbe074,No
1173,f2617a5a-2e3c-4c53-96bc-63a33955b5e7,No
3173,81fa894c-d30e-40d6-8680-e7d0048848fb,No
3423,1f251ac2-607f-44cf-b99b-f97c614a573c,No
611,0cb4c9d0-7a67-4aac-bf69-59aab85c0a2b,No
849,aa5a7ef7-ec5c-4e13-b9ff-f219d15ff3a3,No
1014,786505c8-0f8e-4532-8d66-0758a151dabd,No
2022,25540ef0-4e11-4a78-a440-7599e901e6d9,No
